"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
"36317",32,"blue-collar","unknown","basic.9y","no","yes","no","cellular","jun","mon",314,1,999,0,"nonexistent",-2.9,92.963,-40.8,1.266,5076.2,"yes"
"36462",31,"management","married","university.degree","no","yes","no","cellular","jun","tue",305,1,999,0,"nonexistent",-2.9,92.963,-40.8,1.262,5076.2,"yes"
"34524",32,"blue-collar","married","basic.9y","no","unknown","unknown","cellular","may","thu",1020,1,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"yes"
"13883",53,"retired","married","basic.9y","unknown","yes","no","cellular","jul","fri",817,2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"yes"
"40449",58,"management","married","university.degree","no","no","no","cellular","aug","tue",412,1,999,0,"nonexistent",-1.7,94.027,-38.3,0.904,4991.6,"yes"
"37763",64,"retired","married","unknown","no","no","no","cellular","aug","fri",252,4,999,0,"nonexistent",-2.9,92.201,-31.4,0.849,5076.2,"yes"
"30285",25,"unemployed","single","university.degree","no","yes","no","cellular","apr","thu",260,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"yes"
"24056",34,"blue-collar","single","high.school","no","yes","no","telephone","oct","wed",266,1,999,0,"nonexistent",-0.1,93.798,-40.4,4.827,5195.8,"yes"
"38727",79,"retired","married","basic.4y","no","yes","no","cellular","nov","tue",594,1,3,1,"success",-3.4,92.649,-30.1,0.715,5017.5,"yes"
"38877",72,"retired","married","high.school","no","no","no","cellular","nov","mon",257,1,999,0,"nonexistent",-3.4,92.649,-30.1,0.714,5017.5,"yes"
"29095",33,"admin.","single","university.degree","unknown","no","yes","cellular","apr","fri",526,1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes"
"37101",30,"student","single","university.degree","no","no","no","cellular","jul","tue",332,2,13,2,"failure",-2.9,92.469,-33.6,0.908,5076.2,"yes"
"20530",32,"technician","single","university.degree","no","no","yes","cellular","aug","tue",1092,4,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"yes"
