,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,duration1,log_duration,pdays1,log_pdays
36326,67,admin.,married,basic.4y,unknown,no,no,cellular,jun,tue,466,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes,466,6.14418563412565,999,6.90675477864855
40901,66,retired,married,basic.4y,no,yes,no,telephone,oct,fri,369,2,999,1,failure,-1.1,94.601,-49.5,0.972,4963.6,yes,369,5.91079664404053,999,6.90675477864855
39033,81,retired,divorced,basic.4y,no,yes,no,cellular,dec,fri,166,3,999,0,nonexistent,-3,92.713,-33,0.714,5023.5,yes,166,5.11198778835654,999,6.90675477864855
15490,33,management,single,university.degree,no,yes,no,cellular,jul,fri,415,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,yes,415,6.0282785202307,999,6.90675477864855
35827,32,services,married,high.school,unknown,no,no,cellular,may,mon,642,3,10,1,success,-1.8,92.893,-46.2,1.244,5099.1,yes,642,6.46458830368996,10,2.30258509299405
27824,66,retired,married,basic.4y,no,yes,no,cellular,mar,thu,156,1,999,0,nonexistent,-1.8,92.843,-50,1.65,5099.1,yes,156,5.04985600724954,999,6.90675477864855
39395,60,housemaid,married,basic.4y,no,yes,yes,cellular,apr,thu,149,1,12,1,success,-1.8,93.749,-34.6,0.635,5008.7,yes,149,5.00394630594546,12,2.484906649788
38443,35,unemployed,married,university.degree,no,no,no,cellular,oct,thu,344,1,6,1,success,-3.4,92.431,-26.9,0.733,5017.5,yes,344,5.8406416573734,6,1.79175946922805
37907,39,entrepreneur,married,basic.6y,no,yes,no,cellular,sep,tue,531,2,999,0,nonexistent,-3.4,92.379,-29.8,0.819,5017.5,yes,531,6.27476202124194,999,6.90675477864855
30459,30,management,single,university.degree,no,yes,yes,cellular,may,mon,447,1,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,yes,447,6.10255859461357,999,6.90675477864855
27752,38,technician,married,professional.course,no,no,yes,cellular,mar,thu,137,1,999,0,nonexistent,-1.8,92.843,-50,1.757,5099.1,yes,137,4.91998092582813,999,6.90675477864855
30320,33,blue-collar,single,basic.4y,no,no,no,cellular,apr,thu,452,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,yes,452,6.11368217983223,999,6.90675477864855
36979,51,technician,married,professional.course,no,yes,no,cellular,jul,thu,135,2,999,1,failure,-2.9,92.469,-33.6,1.072,5076.2,yes,135,4.90527477843843,999,6.90675477864855
36542,29,admin.,married,high.school,no,no,no,cellular,jun,wed,200,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes,200,5.29831736654804,999,6.90675477864855
13232,34,blue-collar,married,basic.6y,unknown,no,no,cellular,jul,wed,727,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes,727,6.58892647753352,999,6.90675477864855
32844,52,services,married,high.school,unknown,yes,no,cellular,may,mon,930,1,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,yes,930,6.8351845861473,999,6.90675477864855
37079,23,blue-collar,single,high.school,no,no,no,cellular,jul,fri,104,2,999,0,nonexistent,-2.9,92.469,-33.6,1.007,5076.2,yes,104,4.64439089914137,999,6.90675477864855
28069,26,entrepreneur,single,high.school,no,yes,no,cellular,apr,fri,707,1,999,1,failure,-1.8,93.075,-47.1,1.479,5099.1,yes,707,6.56103066589657,999,6.90675477864855
28522,28,admin.,single,university.degree,no,yes,no,cellular,apr,tue,295,5,999,0,nonexistent,-1.8,93.075,-47.1,1.423,5099.1,yes,295,5.68697535633982,999,6.90675477864855
6281,30,self-employed,married,basic.9y,no,no,no,telephone,may,tue,3094,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,yes,3094,8.03722003113301,999,6.90675477864855
